# ACT PA4 Bandpass Data — extracted by Colin H. from Jeff M.’s Keynote file (FTS_2017.key)
#220 GHz bandwidht / band center table
#col0: channel
#col1: band center
#col2: band width
1412.0 225.39 76.57
1444.0 219.88 81.15
1476.0 230.46 72.26
1498.0 221.59 78.04
1528.0 225.63 77.28
1530.0 221.27 77.21
1784.0 224.2 77.77
345.0 223.73 69.87
377.0 226.9 70.64
408.0 226.28 72.71
440.0 225.31 74.73
441.0 228.09 70.45
442.0 221.48 81.4
665.0 219.78 79.16
666.0 224.03 69.23
696.0 223.14 79.11
697.0 223.59 78.69
698.0 224.18 64.45
730.0 234.42 44.68
762.0 224.35 73.69
772.0 211.87 74.79
804.0 222.06 64.37
920.0 222.91 80.4
921.0 223.94 80.07
952.0 219.54 83.18
953.0 222.26 78.72
986.0 226.79 73.64
1018.0 222.25 76.77
1027.0 214.93 75.4
1028.0 217.24 72.53
1059.0 218.5 77.53
1060.0 221.35 72.56
1092.0 220.54 71.65
1177.0 222.88 86.13
1209.0 222.16 78.99
1242.0 224.39 75.75
1272.0 226.52 70.07
1283.0 218.26 75.89
1284.0 219.53 73.13
1315.0 222.08 74.75
1316.0 221.7 75.08
1347.0 223.67 67.18
1348.0 219.31 78.23
1412.0 221.78 75.76
1444.0 222.25 75.19
1476.0 222.1 73.84
1498.0 222.54 74.67
1528.0 223.72 71.26
1530.0 222.41 70.56
1784.0 221.9 72.68
