# ACT PA3 90 GHz Bandpass Data — from Rahul Datta (average over 17 individual detector bandpasses measured for PA3 90 GHz)
# Truncated by JCH using criteria in 'passbands' notebook 1/27/19
#col0: frequency [GHz]
#col1: 90 GHz response
#col2: 1-sigma error
#nu(GHz)       fnu	fnu_err
1.049899999999999949e+02 8.232899999999999663e-01 1.765299999999999925e-01
1.054899999999999949e+02 8.348200000000000065e-01 1.710000000000000131e-01
1.059899999999999949e+02 7.854100000000000525e-01 1.517300000000000038e-01
1.064899999999999949e+02 8.413300000000000223e-01 1.348999999999999921e-01
1.069899999999999949e+02 9.821499999999999675e-01 1.189100000000000018e-01
1.074899999999999949e+02 1.000000000000000000e+00 1.031399999999999956e-01
1.079899999999999949e+02 9.012000000000000011e-01 8.892400000000000304e-02
1.084899999999999949e+02 8.944800000000000528e-01 1.104500000000000065e-01
1.089899999999999949e+02 9.482800000000000118e-01 1.534000000000000086e-01
1.094899999999999949e+02 8.635800000000000143e-01 1.815900000000000014e-01
1.099899999999999949e+02 7.000399999999999956e-01 1.890999999999999903e-01
1.104899999999999949e+02 6.335899999999999865e-01 2.112900000000000056e-01
1.109899999999999949e+02 5.988299999999999734e-01 2.371999999999999942e-01
1.114899999999999949e+02 4.735699999999999910e-01 2.124199999999999977e-01
1.119899999999999949e+02 3.341999999999999971e-01 1.605999999999999928e-01
1.124899999999999949e+02 2.785799999999999943e-01 1.349400000000000044e-01
1.129899999999999949e+02 2.548099999999999810e-01 1.254300000000000137e-01
1.134899999999999949e+02 1.955699999999999938e-01 1.015500000000000014e-01
1.139899999999999949e+02 1.379100000000000048e-01 7.543999999999999317e-02
1.144899999999999949e+02 1.115199999999999941e-01 6.187200000000000338e-02
1.149899999999999949e+02 9.961899999999999922e-02 5.046899999999999997e-02
1.154899999999999949e+02 8.518299999999999483e-02 3.536099999999999660e-02
1.159899999999999949e+02 5.546199999999999741e-02 3.082299999999999970e-02
1.164899999999999949e+02 4.235699999999999882e-02 2.943899999999999989e-02
